code,name,market,industry_code,industry_name
1101,台泥,TWSE,01,水泥工業
1102,亞泥,TWSE,01,水泥工業
1103,嘉泥,TWSE,01,水泥工業
1104,環泥,TWSE,01,水泥工業
1108,幸福,TWSE,01,水泥工業
1109,信大,TWSE,01,水泥工業
1110,東泥,TWSE,01,水泥工業
1201,味全,TWSE,02,食品工業
1203,味王,TWSE,02,食品工業
1210,大成,TWSE,02,食品工業
1213,大飲,TWSE,02,食品工業
1215,卜蜂,TWSE,02,食品工業
1216,統一,TWSE,02,食品工業
1217,愛之味,TWSE,02,食品工業
1218,泰山,TWSE,02,食品工業
1219,福壽,TWSE,02,食品工業
1220,台榮,TWSE,02,食品工業
1225,福懋油,TWSE,02,食品工業
1227,佳格,TWSE,02,食品工業
1229,聯華,TWSE,02,食品工業
1231,聯華食,TWSE,02,食品工業
1232,大統益,TWSE,02,食品工業
1233,天仁,TWSE,02,食品工業
1234,黑松,TWSE,02,食品工業
1235,興泰,TWSE,02,食品工業
1236,宏亞,TWSE,02,食品工業
1240,茂生農經,TPEX,33,農業科技
1256,鮮活果汁-KY,TWSE,02,食品工業
1259,安心,TPEX,16,觀光餐旅
1264,德麥,TPEX,02,食品工業
1268,漢來美食,TPEX,16,觀光餐旅
1294,漢田生技,TPEX,02,食品工業
1295,生合,TPEX,02,食品工業
1301,台塑,TWSE,03,塑膠工業
1303,南亞,TWSE,03,塑膠工業
1304,台聚,TWSE,03,塑膠工業
1305,華夏,TWSE,03,塑膠工業
1307,三芳,TWSE,03,塑膠工業
1308,亞聚,TWSE,03,塑膠工業
1309,台達化,TWSE,03,塑膠工業
1310,台苯,TWSE,03,塑膠工業
1312,國喬,TWSE,03,塑膠工業
1313,聯成,TWSE,03,塑膠工業
1314,中石化,TWSE,03,塑膠工業
1315,達新,TWSE,03,塑膠工業
1316,上曜,TWSE,14,建材營造
1319,東陽,TWSE,12,汽車工業
1321,大洋,TWSE,03,塑膠工業
1323,永裕,TWSE,03,塑膠工業
1324,地球,TWSE,03,塑膠工業
1325,恆大,TWSE,03,塑膠工業
1326,台化,TWSE,03,塑膠工業
1336,台翰,TPEX,28,電子零組件業
1337,再生-KY,TWSE,03,塑膠工業
1338,廣華-KY,TWSE,12,汽車工業
1339,昭輝,TWSE,12,汽車工業
1340,勝悅-KY,TWSE,03,塑膠工業
1341,富林-KY,TWSE,03,塑膠工業
1342,八貫,TWSE,20,其他
1402,遠東新,TWSE,04,紡織纖維
1409,新纖,TWSE,04,紡織纖維
1410,南染,TWSE,04,紡織纖維
1413,宏洲,TWSE,04,紡織纖維
1414,東和,TWSE,04,紡織纖維
1416,廣豐,TWSE,20,其他
1417,嘉裕,TWSE,04,紡織纖維
1418,東華,TWSE,04,紡織纖維
1419,新紡,TWSE,04,紡織纖維
1423,利華,TWSE,04,紡織纖維
1432,大魯閣,TWSE,37,運動休閒
1434,福懋,TWSE,04,紡織纖維
1435,中福,TWSE,20,其他
1436,華友聯,TWSE,14,建材營造
1437,勤益控,TWSE,20,其他
1438,三地開發,TWSE,14,建材營造
1439,雋揚,TWSE,14,建材營造
1440,南紡,TWSE,04,紡織纖維
1441,大東,TWSE,04,紡織纖維
1442,名軒,TWSE,14,建材營造
1443,立益物流,TWSE,20,其他
1444,力麗,TWSE,04,紡織纖維
1445,大宇,TWSE,04,紡織纖維
1446,宏和,TWSE,04,紡織纖維
1447,力鵬,TWSE,04,紡織纖維
1449,佳和,TWSE,04,紡織纖維
1451,年興,TWSE,04,紡織纖維
1452,宏益,TWSE,04,紡織纖維
1453,大將,TWSE,14,建材營造
1454,台富,TWSE,04,紡織纖維
1455,集盛,TWSE,04,紡織纖維
1456,怡華,TWSE,14,建材營造
1457,宜進,TWSE,04,紡織纖維
1459,聯發,TWSE,04,紡織纖維
1460,宏遠,TWSE,04,紡織纖維
1463,強盛新,TWSE,04,紡織纖維
1464,得力,TWSE,04,紡織纖維
1465,偉全,TWSE,04,紡織纖維
1466,聚隆,TWSE,04,紡織纖維
1467,南緯,TWSE,04,紡織纖維
1468,昶和,TWSE,04,紡織纖維
1470,大統新創,TWSE,04,紡織纖維
1471,首利,TWSE,28,電子零組件業
