資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20260731,1101,1,147552,20980283,0.27
20260731,1101,2,233026,513227813,6.82
20260731,1101,3,58385,435868135,5.79
20260731,1101,4,23577,291684056,3.87
20260731,1101,5,13007,234393722,3.11
20260731,1101,6,12574,312776394,4.15
20260731,1101,7,5691,200196781,2.66
20260731,1101,8,3754,172479708,2.29
20260731,1101,9,6458,458051621,6.08
20260731,1101,10,2721,375443239,4.99
20260731,1101,11,1075,297757032,3.95
20260731,1101,12,286,139262351,1.85
20260731,1101,13,132,91612535,1.21
20260731,1101,14,83,74763037,0.99
20260731,1101,15,414,3904685035,51.9
20260731,1101,16,508735,7523181742,100.0
20260731,1102,1,26127,5804429,0.16
20260731,1102,2,54022,120722119,3.4
20260731,1102,3,11653,90838426,2.56
20260731,1102,4,3694,46608495,1.31
20260731,1102,5,2293,42009587,1.18
20260731,1102,6,2120,54105015,1.52
20260731,1102,7,977,34867851,0.98
20260731,1102,8,697,32393463,0.91
20260731,1102,9,1167,84189245,2.37
20260731,1102,10,524,73310289,2.06
20260731,1102,11,259,72976069,2.05
20260731,1102,12,76,37054091,1.04
20260731,1102,13,39,26602892,0.75
20260731,1102,14,18,16284145,0.45
20260731,1102,15,196,2808796765,79.19
20260731,1102,16,103862,3546562881,100.0
20260731,1103,1,54602,3127323,0.37
20260731,1103,2,13571,27118815,3.25
20260731,1103,3,2764,18449771,2.21
20260731,1103,4,1246,14325612,1.72
20260731,1103,5,423,7247159,0.87
20260731,1103,6,522,12362778,1.48
20260731,1103,7,243,8321754,0.99
20260731,1103,8,122,5473482,0.65
20260731,1103,9,310,21481164,2.57
20260731,1103,10,166,23269791,2.79
20260731,1103,11,78,21392864,2.56
20260731,1103,12,25,12146474,1.45
20260731,1103,13,16,10519717,1.26
20260731,1103,14,7,6338447,0.76
20260731,1103,15,89,641299402,76.99
20260731,1103,16,74184,832874553,100.0
20260731,1104,1,35197,3275716,0.47
20260731,1104,2,14154,30938189,4.5
20260731,1104,3,3025,21861394,3.18
20260731,1104,4,1232,14602817,2.12
20260731,1104,5,564,10124446,1.47
20260731,1104,6,568,13758512,2.0
20260731,1104,7,278,9774532,1.42
20260731,1104,8,165,7505160,1.09
20260731,1104,9,330,22858457,3.32
20260731,1104,10,168,23302254,3.39
20260731,1104,11,94,25185173,3.66
20260731,1104,12,43,22295146,3.24
20260731,1104,13,16,11029593,1.6
20260731,1104,14,8,6967170,1.01
20260731,1104,15,45,463203257,67.45
20260731,1104,16,55887,686681816,100.0
20260731,1108,1,3665,502532,0.12
20260731,1108,2,6505,14367296,3.54
20260731,1108,3,1358,11367685,2.8
20260731,1108,4,368,4758379,1.17
20260731,1108,5,368,6955421,1.71
20260731,1108,6,224,5919764,1.46
20260731,1108,7,88,3226522,0.79
20260731,1108,8,83,3870550,0.95
20260731,1108,9,144,10462424,2.58
20260731,1108,10,77,10860489,2.68
20260731,1108,11,38,10834768,2.67
20260731,1108,12,20,9478583,2.34
20260731,1108,13,9,6357316,1.57
20260731,1108,14,3,2836567,0.7
20260731,1108,15,43,302939753,74.84
20260731,1108,16,12993,404738049,100.0
20260731,1109,1,4763,1073435,0.31
20260731,1109,2,5187,11182183,3.27
20260731,1109,3,976,7927125,2.32
20260731,1109,4,296,3841933,1.12
20260731,1109,5,218,4037366,1.18
20260731,1109,6,192,4904903,1.43
20260731,1109,7,70,2590490,0.75
20260731,1109,8,66,3045404,0.89
20260731,1109,9,134,9634723,2.82
20260731,1109,10,65,9355635,2.74
20260731,1109,11,44,12186797,3.57
20260731,1109,12,16,7895252,2.31
20260731,1109,13,7,4803582,1.4
20260731,1109,14,11,10014493,2.93
20260731,1109,15,36,248665547,72.88
20260731,1109,16,12081,341158868,100.0
20260731,1110,1,2819,317899,0.05
20260731,1110,2,1593,3196456,0.55
20260731,1110,3,269,2147550,0.37
20260731,1110,4,96,1208729,0.21
20260731,1110,5,64,1195870,0.2
20260731,1110,6,73,1895872,0.33
20260731,1110,7,46,1650304,0.28
20260731,1110,8,33,1533089,0.26
20260731,1110,9,75,5531790,0.96
20260731,1110,10,39,5796548,1.01
20260731,1110,11,33,9455935,1.65
